ID	logFC	AveExpr	t	P.Value	adj.P.Val	B	res
ENSG00000049239	1.4794688538168	8.36062006548141	5.18656397198554	0.000235074724854653	0.940724079712173	-4.17847169669244	limma
ENSG00000110244	-2.37546016204565	6.68006097805987	-4.62602086827915	0.00060102892885419	0.940724079712173	-4.26126480518693	limma
ENSG00000023330	1.02636685634238	7.75592382557246	3.44086885773741	0.00496102674724581	0.940724079712173	-4.31960922823563	limma
ENSG00000167676	1.16324590743871	9.33038315529625	3.30209009430715	0.00640349140022314	0.940724079712173	-4.3211173701168	limma
ENSG00000130173	-2.53397962781278	6.47922976200063	-3.58931551804338	0.00378055459174574	0.940724079712173	-4.34461335831264	limma
ENSG00000143546	-2.83248123534652	5.8097691311531	-4.00192833670239	0.00179319983647196	0.940724079712173	-4.34870982856146	limma
ENSG00000133392	-1.37633077633294	7.68529982610263	-3.14038470394116	0.00863016332210699	0.940724079712173	-4.35140229462094	limma
ENSG00000171051	-1.57704944464661	5.55066566698484	-3.78407535803871	0.00265348507678354	0.940724079712173	-4.35543229242426	limma
ENSG00000172831	0.762696520725237	10.7872934224032	2.9685624185808	0.0118575140471539	0.940724079712173	-4.35565903591293	limma
ENSG00000214456	1.07278682690685	6.6181528064579	3.25640421600209	0.00696615342681949	0.940724079712173	-4.35755578694271	limma
